iter	Passed	Remaining
357	1810	3247
358	1816	3242
359	1821	3237
360	1825	3231
361	1831	3227
362	1835	3221
363	1840	3216
364	1846	3212
365	1851	3206
366	1856	3202
367	1861	3196
368	1866	3191
369	1871	3186
370	1876	3181
371	1881	3176
372	1887	3172
373	1892	3167
374	1897	3162
375	1902	3157
376	1907	3151
377	1912	3147
378	1917	3142
379	1922	3137
380	1928	3132
381	1933	3128
382	1939	3124
383	1944	3119
384	1950	3115
385	1955	3110
386	1960	3105
387	1965	3099
388	1970	3094
389	1975	3089
390	1980	3084
391	1985	3079
392	1990	3074
393	1995	3068
394	2000	3063
395	2005	3058
396	2010	3053
397	2015	3048
398	2020	3043
399	2025	3038
400	2030	3033
401	2035	3028
402	2041	3023
403	2046	3019
404	2051	3013
405	2056	3008
406	2061	3003
407	2066	2998
408	2071	2993
409	2076	2988
410	2081	2982
411	2086	2977
412	2091	2972
413	2098	2970
414	2104	2966
415	2110	2962
416	2115	2957
417	2120	2952
418	2125	2947
419	2130	2942
420	2136	2938
421	2141	2933
422	2146	2928
423	2152	2923
424	2157	2918
425	2163	2914
426	2168	2909
427	2174	2905
428	2179	2900
429	2185	2896
430	2190	2891
431	2195	2886
432	2200	2881
433	2206	2877
434	2211	2872
435	2216	2867
436	2221	2862
437	2227	2858
438	2232	2853
439	2238	2849
440	2244	2844
441	2249	2840
442	2255	2835
443	2260	2830
444	2265	2825
445	2271	2820
446	2276	2816
447	2281	2811
448	2286	2806
449	2291	2801
450	2297	2796
451	2302	2791
452	2307	2786
453	2312	2781
454	2317	2776
455	2322	2771
456	2328	2766
457	2333	2761
458	2338	2756
459	2343	2751
460	2348	2746
461	2353	2740
462	2358	2735
463	2364	2731
464	2369	2726
465	2374	2721
466	2380	2716
467	2385	2712
468	2391	2707
469	2396	2702
470	2401	2696
471	2406	2691
472	2411	2686
473	2416	2681
474	2422	2677
475	2427	2672
476	2432	2667
477	2437	2662
478	2443	2657
479	2448	2652
480	2453	2646
481	2458	2641
482	2463	2636
483	2468	2631
484	2474	2627
485	2479	2622
486	2485	2618
487	2490	2613
488	2496	2608
489	2501	2603
490	2506	2598
491	2511	2593
492	2517	2588
493	2522	2583
494	2527	2578
495	2532	2573
496	2537	2568
497	2543	2563
498	2548	2558
499	2553	2553
500	2558	2548
501	2563	2542
502	2568	2537
503	2573	2532
504	2578	2527
505	2584	2523
506	2590	2518
507	2595	2513
508	2601	2509
509	2606	2504
510	2612	2499
511	2616	2494
512	2622	2489
513	2627	2484
514	2633	2480
515	2638	2475
516	2643	2470
517	2648	2464
518	2654	2460
519	2659	2454
520	2664	2449
521	2669	2444
522	2675	2439
523	2680	2435
524	2686	2430
525	2691	2425
526	2696	2420
527	2701	2415
528	2707	2410
529	2712	2405
530	2717	2400
531	2723	2395
532	2729	2391
533	2734	2385
534	2739	2380
535	2744	2375
536	2749	2370
537	2754	2365
538	2759	2360
539	2764	2354
540	2769	2349
541	2774	2344
542	2779	2339
543	2784	2334
544	2789	2328
545	2794	2323
546	2799	2318
547	2804	2313
548	2809	2308
549	2815	2303
550	2820	2298
551	2825	2292
552	2830	2287
553	2835	2282
554	2840	2277
555	2845	2272
556	2850	2267
557	2855	2262
558	2860	2256
559	2866	2251
560	2871	2246
561	2876	2241
562	2881	2236
563	2886	2231
564	2891	2226
565	2896	2221
566	2902	2216
567	2907	2211
568	2912	2205
569	2917	2200
570	2922	2195
571	2928	2191
572	2933	2186
573	2938	2180
574	2943	2175
575	2948	2170
576	2953	2165
577	2958	2160
578	2963	2154
579	2968	2149
580	2973	2144
581	2978	2139
582	2983	2134
583	2988	2128
584	2993	2123
585	2999	2118
586	3004	2113
587	3009	2108
588	3014	2103
589	3019	2097
590	3023	2092
591	3028	2087
592	3033	2081
593	3038	2076
594	3043	2071
595	3048	2066
596	3053	2061
597	3058	2056
598	3063	2051
599	3069	2046
600	3074	2041
601	3079	2036
602	3084	2031
603	3090	2026
604	3095	2020
605	3100	2015
606	3105	2010
607	3110	2005
608	3115	2000
609	3120	1994
610	3125	1990
611	3130	1984
612	3135	1979
613	3141	1975
614	3146	1969
615	3151	1964
616	3157	1959
617	3162	1954
618	3167	1949
619	3172	1944
620	3176	1938
621	3181	1933
622	3187	1928
623	3192	1923
624	3197	1918
625	3202	1913
626	3207	1908
627	3212	1903
628	3217	1897
629	3222	1892
630	3227	1887
631	3232	1882
632	3237	1877
633	3243	1872
634	3248	1867
635	3253	1862
636	3258	1856
637	3263	1851
638	3268	1846
639	3274	1841
640	3278	1836
641	3284	1831
642	3289	1826
643	3294	1820
644	3299	1815
645	3304	1810
646	3309	1805
647	3314	1800
648	3319	1795
649	3325	1790
650	3331	1785
651	3336	1780
652	3341	1775
653	3346	1770
654	3351	1765
655	3356	1760
656	3361	1755
657	3366	1749
658	3371	1744
659	3376	1739
660	3381	1734
661	3386	1729
662	3392	1724
663	3396	1718
664	3401	1713
665	3406	1708
666	3411	1703
667	3416	1698
668	3421	1692
669	3426	1687
670	3431	1682
671	3436	1677
672	3441	1672
673	3446	1666
674	3451	1661
675	3456	1656
676	3461	1651
677	3466	1646
678	3471	1641
679	3476	1636
680	3481	1631
681	3486	1625
682	3491	1620
683	3496	1615
684	3501	1610
685	3506	1605
686	3511	1600
687	3516	1594
688	3521	1589
689	3526	1584
690	3531	1579
691	3536	1574
692	3541	1569
693	3546	1563
694	3551	1558
695	3556	1553
696	3562	1548
697	3567	1543
698	3571	1538
699	3576	1532
700	3582	1528
701	3587	1523
702	3592	1517
703	3598	1512
704	3602	1507
705	3607	1502
706	3613	1497
707	3619	1492
708	3624	1487
709	3630	1482
710	3635	1477
711	3640	1472
712	3646	1467
713	3651	1462
714	3656	1457
715	3661	1452
716	3666	1447
717	3671	1441
718	3676	1436
719	3681	1431
720	3686	1426
721	3691	1421
722	3696	1416
723	3702	1411
724	3707	1406
725	3712	1401
726	3717	1395
727	3722	1390
728	3727	1385
729	3732	1380
730	3738	1375
731	3743	1370
732	3748	1365
733	3753	1360
734	3759	1355
735	3764	1350
736	3769	1345
737	3774	1339
738	3779	1334
739	3784	1329
740	3789	1324
741	3794	1319
742	3799	1314
743	3804	1309
744	3809	1303
745	3814	1298
746	3819	1293
747	3824	1288
748	3829	1283
749	3835	1278
750	3839	1273
751	3845	1268
752	3850	1262
753	3855	1257
754	3860	1252
755	3865	1247
756	3870	1242
757	3875	1237
758	3880	1232
759	3885	1227
760	3891	1222
761	3896	1216
762	3901	1211
763	3906	1206
764	3911	1201
765	3916	1196
766	3921	1191
767	3926	1186
768	3931	1181
769	3937	1176
770	3942	1171
771	3947	1165
772	3952	1160
773	3957	1155
774	3962	1150
775	3968	1145
776	3973	1140
777	3978	1135
778	3983	1130
779	3988	1125
780	3994	1119
781	3999	1114
782	4004	1109
783	4009	1104
784	4014	1099
785	4019	1094
786	4025	1089
787	4029	1084
788	4035	1079
789	4040	1073
790	4045	1068
791	4050	1063
792	4055	1058
793	4060	1053
794	4065	1048
795	4070	1043
796	4075	1037
797	4080	1032
798	4085	1027
799	4090	1022
800	4095	1017
801	4100	1012
802	4105	1007
803	4110	1001
804	4115	996
805	4120	991
806	4126	986
807	4131	981
808	4137	976
809	4142	971
810	4147	966
811	4152	961
812	4158	956
813	4163	951
814	4168	946
815	4173	941
816	4178	935
817	4183	930
818	4188	925
819	4193	920
820	4198	915
821	4203	910
822	4208	905
823	4213	900
824	4219	894
825	4224	889
826	4228	884
827	4233	879
828	4238	874
829	4243	869
830	4249	864
831	4254	859
832	4259	853
833	4265	848
834	4270	843
835	4276	838
836	4282	833
837	4287	828
838	4293	823
839	4298	818
840	4303	813
841	4308	808
842	4313	803
843	4318	798
844	4323	793
845	4328	787
846	4333	782
847	4338	777
848	4344	772
849	4348	767
850	4354	762
851	4359	757
852	4364	752
853	4369	746
854	4374	741
855	4379	736
856	4384	731
857	4389	726
858	4395	721
859	4400	716
860	4405	711
861	4410	706
862	4415	700
863	4420	695
864	4425	690
865	4430	685
866	4435	680
867	4440	675
868	4445	670
869	4450	665
870	4455	659
871	4460	654
872	4465	649
873	4470	644
874	4476	639
875	4481	634
876	4486	629
877	4491	624
878	4495	618
879	4500	613
880	4506	608
881	4511	603
882	4516	598
883	4521	593
884	4527	588
885	4532	583
886	4537	578
887	4543	573
888	4548	567
889	4553	562
890	4558	557
891	4563	552
892	4568	547
893	4572	542
894	4577	537
895	4582	531
896	4588	526
897	4593	521
898	4598	516
899	4604	511
900	4609	506
901	4614	501
902	4619	496
903	4624	491
904	4629	485
905	4634	480
906	4639	475
907	4644	470
908	4649	465
909	4654	460
910	4659	455
911	4664	450
912	4669	444
913	4674	439
914	4679	434
915	4684	429
916	4690	424
917	4695	419
918	4700	414
919	4705	409
920	4709	403
921	4714	398
922	4719	393
923	4724	388
924	4729	383
925	4735	378
926	4740	373
927	4745	368
928	4749	363
929	4754	357
930	4759	352
931	4765	347
932	4770	342
933	4775	337
934	4781	332
935	4787	327
936	4792	322
937	4797	317
938	4803	312
939	4809	306
940	4814	301
941	4819	296
942	4825	291
943	4830	286
944	4836	281
945	4842	276
946	4848	271
947	4853	266
948	4859	261
949	4865	256
950	4870	250
951	4876	245
952	4881	240
953	4886	235
954	4891	230
955	4896	225
956	4901	220
957	4907	215
958	4912	210
959	4917	204
960	4922	199
961	4927	194
962	4932	189
963	4937	184
964	4942	179
965	4948	174
966	4953	169
967	4958	163
968	4963	158
969	4969	153
970	4974	148
971	4980	143
972	4985	138
973	4990	133
974	4996	128
975	5001	122
976	5006	117
977	5011	112
978	5016	107
979	5021	102
980	5027	97
981	5032	92
982	5037	87
983	5042	81
984	5047	76
985	5052	71
986	5058	66
987	5062	61
988	5068	56
989	5073	51
990	5078	46
991	5083	40
992	5088	35
993	5093	30
994	5098	25
995	5103	20
996	5108	15
997	5114	10
998	5119	5
999	5124	0
